날짜/시간,화자,메시지,TMSSR,Potential
2026. 4. 29. 오전 11:18:41,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 11:18:41,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 11:18:41,교사,식으로 풀었다고 한 것이 어떻게 풀었다는 것을 의미하는지 자세하게 알려줄래?,Eliciting,High
2026. 4. 29. 오전 11:18:41,혜원,"x^2-4를 인수 분해를 해서 이게 0보다 큰 범위니까 -2>x , x>2로 풀었어요.",,
2026. 4. 29. 오전 11:18:41,교사,그렇구나. 그러면 이번에는 이차 함수의 그래프를 한 번 그려서 문제를 해결해볼까?,Facilitating,High
2026. 4. 29. 오전 11:18:41,혜원,y=x^2-4 니까 x^2 그래프를 y축 방향으로 -4만큼 평행이동 시키면 되겠네요?,,
2026. 4. 29. 오전 11:18:41,교사,"그렇지, 그래프를 다 그렸으면 그때 0보다 큰 범위를 구하려면 어떻게 해야 하는지 한 번 확인해보겠니?",Facilitating,High
2026. 4. 29. 오전 11:18:41,혜원,0보다 큰 범위를 구해야 하니까 근을 구해야겠네요??,,
2026. 4. 29. 오전 11:18:41,교사,"그렇지, 결국에 근을 기준으로 범위가 나뉘게 되겠지? 그럼 이제 근을 어떻게 구할 수 있을지 한 번 생각해볼까?",Facilitating,High
2026. 4. 29. 오전 11:18:41,혜원,근의 공식이요,,
2026. 4. 29. 오전 11:18:41,교사,"근의 공식도 있겠지만, 우리 근을 구할 수 있는 방법이 또 뭐가 있을까?",Facilitating,High
2026. 4. 29. 오전 11:18:41,혜원,"인수 분해, 아 인수 분해도 근을 구하는 과정이었네요?",,
2026. 4. 29. 오전 11:18:41,교사,"바로 그거지, 왜 이차 부등식을 푸는데 그동안 인수분해로 문제를 해결한 것인지 이해가 되니?",Extending,High
2026. 4. 29. 오전 11:18:41,혜원,잠시만요 정리를 한 번 더 해주세요,,
2026. 4. 29. 오전 11:18:41,교사,결국 식으로 문제를 푼다는 것의 본질은 그래프를 이해하고 마지막 계산을 식으로 해결한다는 의미란다. 한 번 다른 이차 힘수 식에도 적용하여 문제를 풀어볼까?,Extending,High
2026. 4. 29. 오전 11:00:39,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 11:00:39,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 11:00:39,교사,식으로 푸는 것도 좋지만 어떤 식으로 풀 수 있을지 생각해볼까?,Eliciting,High
2026. 4. 29. 오전 11:00:39,혜원,잘 모르겠어요.,,
2026. 4. 29. 오전 11:00:39,교사,위의 식에서 부등호를 제외하면 어떻게 보이니?,Eliciting,High
2026. 4. 29. 오전 11:00:39,혜원,이차함수처럼 보여요.,,
2026. 4. 29. 오전 11:00:39,교사,이차함수의 그래프를 활용해서 x의 범위를 생각해보자. 그래프를 그려볼래?,Facilitating,High
2026. 4. 29. 오전 11:00:39,혜원,X<-2 또는 x>2 범위로 같은 정답이 나와요.,,
2026. 4. 29. 오전 10:46:01,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 10:46:01,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 10:46:01,교사,저번 수업 때 이차함수로 이차부등식 문제를 풀었던 걸 기억하니?,Eliciting,Low
