날짜/시간,화자,메시지,TMSSR,Potential
2026. 4. 29. 오전 10:48:23,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 10:48:23,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 10:48:23,교사,식으로 어떻게 풀었어?,Eliciting,Low
2026. 4. 29. 오전 10:48:23,혜원,인수분해를 하면 (x-2)(x+2)>0가 되어서 x<-2 또는 x>2라고 해결했어요,,
2026. 4. 29. 오전 10:48:23,교사,맞아. 잘 해결했어. 그러면 이번에는 다른 방법으로 해결해볼까? 이전에 이차함수에 대해서 배웠으니까 이차함수의 그래프를 이용해서 해결해볼까?,Facilitating,High
2026. 4. 29. 오전 10:48:23,혜원,"y=x^2-4의 그래프를 그렸는데, 이게 0보다 크다는 것이 무슨 의미인지 잘 모르겠어요",,
2026. 4. 29. 오전 10:48:23,교사,x^2-4가 y의 값이니까 y의 값이 0보다 크다는 것은 좌표평면에서 어디에 해당하는걸까?,Eliciting,High
2026. 4. 29. 오전 10:48:23,혜원,y의 값이 0보다 크다는 것은 x축보다 위에 있다는 의미예요,,
2026. 4. 29. 오전 10:48:23,교사,그렇다면 x^2-4가 0보다 큰 부분을 한 번 표시해볼까?,Facilitating,Low
2026. 4. 29. 오전 10:48:23,혜원,(x=2와 -2를 포함해서 그래프에 표시한 후) 이렇게 돼요.,,
2026. 4. 29. 오전 10:48:23,교사,x^2-4가 0보다 큰 거니까 x축에 있는 2와 -2가 포함이 되어야할까? 포함되지 않을까?,Facilitating,Low
2026. 4. 29. 오전 10:48:23,혜원,x축보다 더 위에 있어야하니까 포함되면 안 돼요.,,
2026. 4. 29. 오전 10:48:23,교사,그러면 그래프에 다시 한 번 표시해볼까?,Facilitating,Low
2026. 4. 29. 오전 10:48:23,혜원,그래프에서 x=2와 -2를 제외하고 표시해야 하니까 빈 동그라미로 표시했어요.,,
2026. 4. 29. 오전 10:48:23,교사,잘했어. 그러면 이제 그래프를 보고 다시 식으로 표현해볼까?,Facilitating,High
2026. 4. 29. 오전 10:48:23,혜원,x의 값이 -2보다 왼쪽인 부분과 2보다 오른쪽인 부분을 표시했으니까 x<-2 또는 x>2가 되어요. 제가 식으로 구한 것이랑 동일해요.,,
2026. 4. 29. 오전 10:53:02,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 10:53:02,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 10:53:02,교사,식으로 어떻게 풀었어?,Eliciting,Low
2026. 4. 29. 오전 10:53:02,혜원,인수분해를 하면 (x-2)(x+2)>0가 되어서 x<-2 또는 x>2라고 해결했어요,,
2026. 4. 29. 오전 10:53:02,교사,맞아. 잘 해결했어. 그러면 이번에는 다른 방법으로 해결해볼까? 이전에 이차함수에 대해서 배웠으니까 이차함수의 그래프를 이용해서 해결해볼까?,Facilitating,High
2026. 4. 29. 오전 10:53:02,혜원,"y=x^2-4의 그래프를 그렸는데, 이게 0보다 크다는 것이 무슨 의미인지 잘 모르겠어요",,
2026. 4. 29. 오전 10:53:02,교사,x^2-4가 y의 값이니까 y의 값이 0보다 크다는 것은 좌표평면에서 어디에 해당하는걸까?,Eliciting,High
2026. 4. 29. 오전 10:53:02,혜원,y의 값이 0보다 크다는 것은 x축보다 위에 있다는 의미예요,,
2026. 4. 29. 오전 10:53:02,교사,그렇다면 x^2-4가 0보다 큰 부분을 한 번 표시해볼까?,Facilitating,Low
2026. 4. 29. 오전 10:53:02,혜원,(x=2와 -2를 포함해서 그래프에 표시한 후) 이렇게 돼요.,,
2026. 4. 29. 오전 10:53:02,교사,x^2-4가 0보다 큰 거니까 x축에 있는 2와 -2가 포함이 되어야할까? 포함되지 않을까?,Eliciting,Low
2026. 4. 29. 오전 10:53:02,혜원,x축보다 더 위에 있어야하니까 포함되면 안 돼요.,,
2026. 4. 29. 오전 10:53:02,교사,그러면 그래프에 다시 한 번 표시해볼까?,Facilitating,Low
2026. 4. 29. 오전 10:53:02,혜원,그래프에서 x=2와 -2를 제외하고 표시해야 하니까 빈 동그라미로 표시했어요.,,
2026. 4. 29. 오전 10:53:02,교사,잘했어. 그러면 이제 그래프를 보고 다시 식으로 표현해볼까?,Facilitating,High
2026. 4. 29. 오전 10:53:02,혜원,x의 값이 -2보다 왼쪽인 부분과 2보다 오른쪽인 부분을 표시했으니까 x<-2 또는 x>2가 되어요. 제가 식으로 구한 것이랑 동일해요.,,
2026. 4. 29. 오전 10:53:02,교사,잘했어. 완전 논리적이구나! 그러면 만약 x^2-4<0이라면 해가 어떻게 달라질까?,Facilitating,High
2026. 4. 29. 오전 10:53:02,혜원,이번에는 0보다 작으니까 x축보다 밑에 있는 부분이 표시가 될 것 같아요.,,
2026. 4. 29. 오전 10:53:02,교사,그러면 똑같이 그래프를 그린 다음 식으로 나타내볼까?,Facilitating,Low
2026. 4. 29. 오전 10:53:02,혜원,"x축보다 밑에 있는 부분이니까 이렇게 표시할 수 있고, 그러면 x의 값이 -2와 2 사이이니까 -2<x<2가 되어요",,
2026. 4. 29. 오전 10:53:02,교사,맞아 아주 잘했어. 너 정말 천재이구나?,Responding,Low
2026. 4. 29. 오전 11:28:21,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 11:28:21,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 11:28:21,교사,식으로 어떻게 풀었는지 설명해줄 수 있을까?,Eliciting,High
2026. 4. 29. 오전 11:28:21,혜원,인수분해를 하면 (x-2)(x+2)>0가 되어서 x<-2 또는 x>2라고 해결했어요,,
